text,label
"the jokes are sophomoric , stereotypes are sprinkled everywhere and the acting ranges from bad to bodacious ",0
"sexy , violent , self-indulgent and maddening ",0
severe body odor ,0
"in spite of all that he 's witnessed , remains surprisingly idealistic ",1
your favorite pet get buried alive ,0
only has about 25 minutes of decent material . ,0
that 's apparently just what ( aniston ) has always needed to grow into a movie career ,1
"is always a joy to watch , even when her material is not first-rate ",1
visual delight ,1
a terrific b movie -- ,1
"is a pan-american movie , with moments of genuine insight into the urban heart ",1
a funny and well-contructed black comedy where the old adage `` be careful what you wish for '' is given a full workout . ,1
stunning images and effects ,1
"appears jagged , as if filmed directly from a television monitor , while the extensive use of stock footage quickly becomes a tiresome cliché . ",0
its hard to imagine having more fun watching a documentary ... ,1
the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be . ,1
well-timed explosion ,1
the effort is sincere and the results are honest ,1
effective in all its aspects ,1
", and for the memorable character creations ",1
"'s weird , wonderful , and not necessarily for kids ",1
moulin rouge ,1
illustrates the ability of the human spirit to overcome adversity . ,1
as boring before i see this piece of crap again ,0
you 'd swear you ,1
walks a tricky tightrope between being wickedly funny and just plain wicked ,0
an old-fashioned but emotionally stirring adventure tale ,1
probably wo n't have you swinging from the trees hooting it 's praises ,0
a fascinating glimpse of urban life and the class warfare that embroils two young men ,1
"is a dark , gritty , sometimes funny little gem ",1
to courage and happiness ,1
a ton of laughs ,1
rich in shadowy metaphor ,1
"transcends its agenda to deliver awe-inspiring , at times sublime , visuals and offer a fascinating glimpse into the subculture of extreme athletes whose derring-do puts the x into the games ",1
a whole lot ,1
"enactments , however fascinating they may be as history , are too crude to serve the work especially well ",0
the ring never lets you off the hook . ,1
emotional conviction ,1
bubbly ,1
an erotic thriller that ,1
ca n't help but get caught up in the thrill of the company 's astonishing growth . ,1
dramatically lackluster ,0
"they come , already having been recycled more times than i 'd care to count ",0
rarely has sex on screen been so aggressively anti-erotic . ,0
"the color sense of stuart little 2 is its most immediate and most obvious pleasure , ",1
a couple of saps stuck in an inarticulate screenplay ,0
", self-assured ",1
"( hayek ) throws herself into this dream hispanic role with a teeth-clenching gusto , ",1
"odd , inexplicable and unpleasant ",0
the ease with which it integrates thoughtfulness and pasta-fagioli comedy ,1
speaks for itself ,1
"zhuangzhuang creates delicate balance of style , text , and subtext that 's so simple and precise that anything discordant would topple the balance , ",1
"seems content to dog-paddle in the mediocre end of the pool , and it 's a sad , sick sight ",0
you might want to check it out ,1
the trappings of i spy are so familiar you might as well be watching a rerun . ,0
", you 'd probably turn it off , convinced that you had already seen that movie . ",0
the threat implied in the title pokémon 4ever is terrifying ,0
in its own simplicity ,1
is hereby given fair warning . ,0
by an angel simplicity ,1
dead ,0
his movie veers like a drunken driver through heavy traffic ,0
viewers will wish there had been more of the `` queen '' and less of the `` damned . '' ,0
sweetness and vulnerability ,1
reverent ,1
celluloid heaven ,1
real visual charge ,1
animation back 30 years ,0
almost everyone growing up believes their family must look like `` the addams family '' to everyone looking in ... `` my big fat greek wedding '' comes from the heart ... ,1
has the requisite faux-urban vibe and hotter-two-years-ago rap and r&b names and references . ,0
's so not-at-all-good ,0
all but spits out denzel washington 's fine performance in the title role . ,1
"polished , well-structured film . ",1
an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother/daughter pair ,1
no worse ,0
"has been written so well , that even a simple `` goddammit ",1
's fairly lame ,0
"overall , it 's a very entertaining , thought-provoking film with a simple message ",1
like a fragment of an underdone potato ,0
crafted a solid formula for successful animated movies ,1
interesting to witness the conflict from the palestinian side ,1
amusements ,1
a generic bloodbath that often becomes laughably unbearable when it is n't merely offensive . ,0
it 's not just a feel-good movie ,1
you to give it a millisecond of thought ,1
imaginatively mixed cast ,1
almost everyone growing up believes their family must look like `` the addams family '' to everyone looking in ,1
the character 's gripping humanity ,1
a dash of the avant-garde fused with their humor ,1
"forgets about her other obligations , leading to a tragedy which is somehow guessable from the first few minutes , maybe because it echoes the by now intolerable morbidity of so many recent movies ",0
"'s a work that , with humor , warmth , and intelligence , captures a life interestingly lived . ",1
ultimately the story compels ,1
to put a lump in your throat while reaffirming washington as possibly the best actor working in movies today ,1
it 's waltzed itself into the art film pantheon . ,1
"there 's an admirable rigor to jimmy 's relentless anger , and to the script 's refusal of a happy ending , but as those monologues stretch on and on , you realize there 's no place for this story to go but down ",0
caper thrills ,1
"the unexpected thing is that its dying , in this shower of black-and-white psychedelia , is quite beautiful . ",1
cowardly ,0
little doubt that kidman has become one of our best actors ,1
"makes the same mistake as the music industry it criticizes , ",0
"slow and ponderous , ",0
with grace and humor and gradually ,1
the ending is all too predictable and far too cliched to really work ,0
"elegantly crafted but emotionally cold , a puzzle whose intricate construction one can admire but is difficult to connect with on any deeper level . ",0
more measured or polished production ,1
a child 's interest and an adult 's patience ,0
delivered dialogue and a heroine who comes across as both shallow and dim-witted ,0
as inept as big-screen remakes of the avengers and the wild wild west . ,0
", crocodile hunter has the hurried , badly cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with canned shots of raymond burr commenting on the monster 's path of destruction . ",0
dave barry 's popular book ,1
leave you marveling at these guys ' superhuman capacity to withstand pain ,1
"the fascination comes in the power of the huston performance , which seems so larger than life and yet so fragile , and ",1
not counting a few gross-out comedies i 've been trying to forget ,0
"is so bad , that it 's almost worth seeing because it 's so bad . ",0
well to cram earplugs ,0
"is a genuine love story , full of traditional layers of awakening and ripening and separation and recovery ",1
"payne has created a beautiful canvas , ",1
makes for one of the most purely enjoyable and satisfying evenings at the movies i 've had in a while ,1
in by the sympathetic characters ,1
"turns out to be clever , amusing and unpredictable ",1
up as the worst kind of hubristic folly ,0
genuine narrative ,1
"is at once playful and haunting , an in-depth portrait of an iconoclastic artist who was fundamentally unknowable even to his closest friends . ",1
", insightfully human ",1
"an evanescent , seamless and sumptuous stream ",1
is that van wilder does little that is actually funny with the material . ,0
whirlwind ,1
that assumes you are n't very bright ,0
"by halfway through this picture i was beginning to hate it , and , of course ",0
the biggest problem ,0
absurd collection ,0
"er , bubbly ",1
originality ,1
lustrous polished ,1
"those who are only mildly curious , i fear , will be put to sleep or bewildered by the artsy and often pointless visuals . ",0
after one gets the feeling that the typical hollywood disregard for historical truth and realism is at work here ,0
wears its empowerment ,1
powerful look ,1
left off the film 's predictable denouement ,0
"enough , but nothing new ",0
the plot holes are big enough for a train car to drive through -- if kaos had n't blown them all up ,0
that the e-graveyard holds as many good ideas as bad is the cold comfort that chin 's film serves up with style and empathy . ,1
"( toback 's ) fondness for fancy split-screen , stuttering editing and pompous references to wittgenstein and kirkegaard ... blends uneasily with the titillating material . ",0
", sometimes beautiful adaptation ",1
none can equal ,1
a bittersweet drama ,1
with the ferocity of a frozen burrito ,0
a disappointment ,0
results from adhering to the messiness of true stories ,0
grace that still leaves shockwaves ,1
"bluto blutarsky , we miss you . ",1
"delighted with the fast , funny , and even touching story ",1
"the movie is concocted and carried out by folks worthy of scorn , and ",0
i like all four of the lead actors a lot and ,1
and it is n't that funny . ,0
references to faith and rainbows to plant smile-button faces on that segment of the populace that made a walk to remember a niche hit ,1
are just too many characters saying too many clever things and getting into too many pointless situations ,0
a barf bag ,0
has little insight into the historical period and its artists ,0
technically superb ,1
"a movie , a vampire soap opera that does n't make much ",0
succeeds as a powerful look at a failure of our justice system . ,1
is more likely to induce sleep than fright ,0
"like its bizarre heroine , it irrigates our souls . ",1
watching this film with an audience full of teenagers fixating on its body humor and reinforcement of stereotypes ,0
every bit as distinctive ,1
is as padded as allen 's jelly belly ,0
is sure to win viewers ' hearts ,1
see the forest for the trees ,1
vibrant and intoxicating ,1
about as humorous ,0
was particularly funny ,1
"is visually smart , ",1
can be as tiresome as 9 seconds of jesse helms ' anti- castro ,0
might add -- slice of comedic bliss ,1
a compelling story of musical passion against governmental odds ,1
have absolutely no idea who the main characters are until the film is well under way -- and yet it 's hard to stop watching ,1
at its best ,1
may be the performances of their careers ,1
would be a lot better if it pared down its plots and characters to a few rather than dozens ... or if it were subtler ... or if it had a sense of humor ,0
worst excesses ,0
"ice age wo n't drop your jaw , but it will warm your heart , and i 'm giving it a strong thumbs up . ",1
plays like a glossy melodrama that occasionally verges on camp . ,0
"even a hardened voyeur would require the patience of job to get through this interminable , shapeless documentary about the swinging subculture . ",0
a bit cold and ,0
is a battle of witlessness between a not-so-bright mother and daughter and an even less capable trio of criminals ,0
"'s consistently funny , in an irresistible junior-high way , and consistently free of any gag that would force you to give it a millisecond of thought . ",1
exciting and well-paced ,1
unrelentingly grim -- and ,0
... may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence . ,0
do well to cram earplugs in their ears and ,0
clever angle ,1
"set out to lampoon , anyway . ",0
sweet cinderella story ,1
", she sees it as a chance to revitalize what is and always has been remarkable about clung-to traditions . ",1
"is , in a word , brilliant as the conflicted daniel . ",1
dignified ,1
by its predictable plot and paper-thin supporting characters ,0
ally mcbeal-style fantasy sequences ,1
class warfare ,0
"priggish , lethargically paced parable of renewal . ",0
stuffy and ,0
into feel-good territory ,1
2002 's first great film ,1
"is clever , offbeat and even gritty enough to overcome my resistance . ",1
a lasting impression ,1
funny and also heartwarming without stooping to gooeyness ,1
divine secrets of the ya-ya sisterhood suffers from a ploddingly melodramatic structure ,0
"seems to want to be a character study , but apparently ",0
"is exhaustion , from watching a movie that is dark ( dark green , to be exact ) , sour , bloody and mean . ",0
the bland songs ,0
hitler 's ,0
finds no way to entertain or inspire its viewers ,0
the best advice is : ` scooby ' do n't . ,0
is also elevated by it -- the kind of movie that you enjoy more because you 're one of the lucky few who sought it out . ,1
winds up looking like a bunch of talented thesps slumming it ,0
lacks ,0
"i do n't know if frailty will turn bill paxton into an a-list director , but he can rest contentedly with the knowledge that he 's made at least one damn fine horror movie . ",1
also is n't embarrassed to make you reach for the tissues ,1
edge ,1
might have been called freddy gets molested by a dog ,0
", one could rent the original and get the same love story and parable . ",0
in practically every facet of inept filmmaking ,0
"like shiner 's organizing of the big fight , pulls off enough ",1
frailty fascinates ,1
captures the complicated relationships in a marching band . ,1
do not fit ,0
mesmerizing one ,1
robin williams has thankfully ditched the saccharine sentimentality of bicentennial man in favor of an altogether darker side . ,1
inert sci-fi action thriller ,0
limited chemistry ,0
this pathetic junk is barely an hour long . ,0
'll find in this dreary mess . ,0
"an admitted egomaniac , evans is no hollywood villain , and yet this grating showcase almost makes you wish he 'd gone the way of don simpson . ",0
do n't have a clue on the park . ,0
"an amusing and unexpectedly insightful examination of sexual jealousy , resentment and the fine ",1
"worse , ",0
kung pow seems like some futile concoction that was developed hastily after oedekerk and ,0
utterly charming ,1
a chilling tale of one of the great crimes of 20th century france : the murder of two rich women by their servants in 1933 ,1
-- sadly -- ,0
disappointing in comparison to other recent war movies ... or ,0
soul-stirring ,1
the only question ... is to determine how well the schmaltz is manufactured -- to assess the quality of the manipulative engineering . ,0
the rat-a-tat energy ,1
"goosebumps as its uncanny tale of love , communal discord , and justice ",1
knows its classical music ,1
"cold , ",0
"observant , unfussily poetic meditation ",1
so insanely dysfunctional ,0
audience-pleaser ,1
that so many people put so much time and energy into this turkey ,0
it is entertaining on an inferior level . ,0
beautiful paean ,1
"take care is nicely performed by a quintet of actresses , ",1
a treatise on spirituality as well as a solid sci-fi thriller ,1
a nicely understated expression of the grief ,1
fluffy neo-noir ,0
never pushes for insights beyond the superficial tensions of the dynamic he 's dissecting ,0
limps along ,0
becoming irritating ,0
spectacular ,1
cinematic razzle-dazzle ,1
surprisingly uninvolving ,0
savvy director robert j. siegel and his co-writers keep the story subtle and us in suspense . ,1
a diverse and astonishingly articulate ,1
"try to create characters out of the obvious cliches , but wind up using them as punching bags ",0
the hanukkah spirit seems fried in pork . ,0
banality and hypocrisy ,0
an old-fashioned but emotionally stirring adventure tale of the kind they ,1
maybe because it echoes the by now intolerable morbidity of so many recent movies ,0
a bad-movie way ,0
tell you that there 's no other reason why anyone should bother remembering it ,0
"'s a stale , overused cocktail using the same olives since 1962 as garnish ",0
"they will have a showdown , but , ",1
is just sooooo tired ,0
notice the flaws ,0
more to think about after the final frame ,1
this marvelous film ,1
: stallion of the cimarron is a winner . ,1
from the classics ,1
this clever and very satisfying picture ,1
the better film 's ability to make its subject interesting to those who are n't part of its supposed target audience ,1
this one is not nearly as dreadful as expected . ,1
an almost palpable sense of intensity ,1
the testosterone-charged wizardry of jerry bruckheimer productions ,1
"at best , cletis tout might inspire a trip to the video store -- in search of a better movie experience . ",0
stale and ,0
loved ,1
"a smart and funny , albeit sometimes superficial , cautionary tale of a technology in search of an artist ",1
"love , longing ",1
"written , flatly , by david kendall ",0
will at least have a dream image of the west to savor whenever the film 's lamer instincts are in the saddle . ,0
", tiresome nature ",0
the needlessly poor quality ,0
splendid singing ,1
"with enthusiasm , sensuality and a conniving wit ",1
"twohy 's a good yarn-spinner , and ultimately the story compels ",1
( hayek ) throws herself into this dream hispanic role with a teeth-clenching gusto ,1
like mere splashing around ,0
ill-conceived and ,0
is that it 's a brazenly misguided project ,0
shockingly bad and absolutely unnecessary ,0
becomes a testament to faith ,1
a mess as this one ,0
a very capable nailbiter . ,1
this much imagination ,1
"it completely contradicts everything kieslowski 's work aspired to , including the condition of art ",0
that would make this a moving experience for people who have n't read the book ,1
excruciating ,0
savvy director robert j. siegel and his co-writers ,1
's not a comedic moment in this romantic comedy . ,0
whimsical and relevant today ,1
makes for one of the most purely enjoyable and satisfying evenings at the movies i 've had in a while . ,1
`` simone '' is a fun and funky look into an artificial creation in a world that thrives on artificiality . ,1
the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities . ,0
on a positive ( if tragic ) note ,1
"the first tunisian film i have ever seen , and it 's also probably the most good-hearted yet sensual entertainment i 'm likely to see all year ",1
the best actors ,1
the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling ( though no less horrifying for it ) ,1
"with acting , tone and pace very obviously mark him as a video helmer making his feature debut ",1
( stephen ) earnhart 's film is more about the optimism of a group of people who are struggling to give themselves a better lot in life than the ones they currently have . ,1
all works out ,1
"but the performances of pacino , williams , and swank keep the viewer wide-awake all the way through . ",1
the movie generates plot points with a degree of randomness usually achieved only by lottery drawing . ,0
"color and depth , and ",1
want to bolt the theater in the first 10 minutes ,0
to look american angst in the eye and end up laughing ,1
"story to suit the sensibilities of a young american , a decision that plucks `` the four feathers '' ",1
"hard , endearing , caring , warm . ",1
comeback ,1
"unlikable , uninteresting , unfunny , and ",0
the best and most mature comedy ,1
"to interesting cinematic devices ( cool visual backmasking ) , a solid cast , and some wickedly sick and twisted humor ",1
can get past the taboo subject matter ,1
straight-shooting family film ,1
"his art , which is more than he has ever revealed before about the source of his spiritual survival ",1
group articulates a flood of emotion . ,1
so much that he refuses to evaluate his own work ,0
it pretends to investigate ,0
"there 's a plethora of characters in this picture , ",1
"the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration . ",0
resemble the shapeless ,0
i did n't particularly like e.t. the first time i saw it as a young boy ,0
by a plot that 's just too boring and obvious ,0
danis ,1
a weird and wonderful comedy . ,1
comic energy ,1
sluggish pacing ,0
"is clever and funny , ",1
"walked out muttering words like `` horrible '' and `` terrible , '' but had so much fun dissing the film that they did n't mind the ticket cost ",0
hide new secretions ,0
is a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing . ,0
any real emotional impact ,0
"serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool . ",1
"o fantasma is boldly , confidently orchestrated , aesthetically and sexually , and its impact is deeply and rightly disturbing ",1
the superficial tensions of the dynamic he 's dissecting ,0
"is overlong and not well-acted , but credit writer-producer-director ",0
highly entertaining ,1
adams just copies from various sources ,0
", washington has a sure hand . ",1
wo n't like looking at it ,0
"works spectacularly well ... a shiver-inducing , nerve-rattling ride ",1
dramatic enough to sustain interest ,1
somewhat tired ,0
your first instinct is to duck ,0
"a chilly , remote , emotionally distant piece ... so dull that its tagline should be : ` ",0
"has none of the crackle of `` fatal attraction '' , `` 9 1/2 weeks '' , or even `` indecent proposal '' , and feels more like lyne 's stolid remake of `` lolita '' ",0
"a china shop , a provocateur crashing into ideas and special-interest groups as he slaps together his own brand of liberalism ",1
acted and directed ,0
", revolution # 9 proves to be a compelling ",1
that the less charitable might describe as a castrated ,0
that old adage about women being unknowable gets an exhilarating new interpretation in morvern callar . ,1
rare to find a film to which the adjective ` gentle ' applies ,1
"adams , with four scriptwriters , takes care with the characters , who are so believable that you feel what they feel . ",1
intelligent romantic thriller ,1
feel like three hours ,0
really won my heart ,1
a fanciful motion picture ,1
a devastating indictment of unbridled greed and materalism . ,0
dicey screen material ,0
"a timid , soggy near miss . ",0
's already done way too often ,0
quietly hopeful ,1
"this ready-made midnight movie probably wo n't stand the cold light of day , but under the right conditions , it 's goofy ( if not entirely wholesome ) fun ",1
"though there 's a clarity of purpose and even-handedness to the film 's direction , the drama feels rigged and sluggish . ",0
gives ample opportunity ,1
one of its strengths ,1
skit-com material fervently deposited on the big screen . ,0
's a sit down and ponder affair ,1
a great cast and ,1
like ,1
would pay a considerable ransom not to be looking at ,0
should make it required viewing in university computer science departments for years to come ,1
is definitely worth seeing ,1
with attractive men ,1
maryam is more timely now than ever . ,1
a tremendous piece ,1
"is too heady for children , and too preachy for adults ",0
loses its ability to shock and amaze ,0
thriller junk ,0
mumbo jumbo ,0
"she is a lioness , protecting her cub , and he a reluctant villain , ",1
"does n't contain half the excitement of balto , or quarter the fun of toy story 2 . ",0
contemptuous of the single female population ,0
"a confluence of kiddie entertainment , sophisticated wit and symbolic graphic design . ",1
director charles stone iii applies more detail to the film 's music than to the story line ; what 's best about drumline is its energy ,1
painfully flat ,0
", manipulative ",0
"a standard police-oriented drama that , were it not for de niro 's participation , would have likely wound up a tnt original . ",0
"after one gets the feeling that the typical hollywood disregard for historical truth and realism is at work here , it 's a matter of finding entertainment in the experiences of zishe and the fiery presence of hanussen . ",1
the direction is intelligently accomplished ,1
to hand it to director george clooney for biting off such a big job the first time out ,1
worse than bland ,0
a movie ever could be ,1
"if the film fails to fulfill its own ambitious goals , it nonetheless sustains interest during the long build-up of expository material . ",1
that is more accurate than anything i have seen in an american film ,1
"see a feature that concentrates on people , a project in which the script and characters hold sway ",1
"most anime , whose most ardent fans outside japan seem to be introverted young men with fantasy fetishes ",0
no sense of pride or shame ,0
effortlessly draws you in ,1
summer audience ,1
buoyant feeling ,1
has not a trace of humanity or empathy ,0
"the worst kind of mythologizing , the kind that sacrifices real heroism and abject suffering for melodrama . ",0
remains ,0
", it might be like trying to eat brussels sprouts . ",0
need of some trims ,0
the sweetest thing leaves an awful sour taste . ,0
"pretension about the film , which very simply sets out to entertain and ends up delivering in good measure ",1
"effective enough at achieving the modest , crowd-pleasing goals it sets for itself ",1
a jaw-droppingly beautiful work that upends nearly every cliché of japanese animation while delivering a more than satisfactory amount of carnage . ,1
cry for your money back ,0
gussied up with so many distracting special effects and visual party tricks that it 's not clear whether we 're supposed to shriek or ,0
as i 'm the one that i want ,1
everyone 's ,1
which become strangely impersonal and abstract ,0
"there 's too much forced drama in this wildly uneven movie , about a young man 's battle with his inescapable past and uncertain future in a very shapable but largely unfulfilling present . ",0
an irresistible blend of warmth and humor ,1
's supposed to be a romantic comedy ,0
a summer of good stuff ,1
as the scruffy sands of its titular community ,0
there surrender $ 9 and 93 minutes of unrecoverable life ,0
is one of those rare pictures ,1
are lukewarm and quick to pass . ,0
"wonders , enhancing the cultural and economic subtext , bringing richer meaning to the story 's morals . ",1
"keep you at the edge of your seat with its shape-shifting perils , political intrigue and brushes with calamity ",1
' and ` realistic ' ,1
me grinning ,1
seamless ,1
give blade fans another look at wesley snipes ' iconic hero doing battle with dozens of bad guys -- at once ,1
"nicks refuses to let slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy . ",1
sporting one of the worst titles in recent cinematic history ,0
as beautifully shaped ,1
one terrific score and attitude to spare ,1
violent and ,0
works better in the conception than it does in the execution ... winds up seeming just a little too clever ,0
"with a lousy script , inept direction , pathetic acting , poorly dubbed dialogue and murky cinematography ",0
the action looks fake ,0
"demme gets a lot of flavor and spice into his charade remake , but ",1
skip this turd ,0
no teeth ,0
"even with its $ 50-million us budget , pinocchio never quite achieves the feel of a fanciful motion picture . ",0
"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship . ",1
"( johnnie to and wai ka fai are ) sure to find an enthusiastic audience among american action-adventure buffs , but the film 's interests may be too narrow to attract crossover viewers . ",0
illogical ,0
what begins as a conventional thriller evolves into a gorgeously atmospheric meditation on life-changing chance encounters . ,1
"a sad , sordid universe ",0
"the horizons of boredom to the point of collapse , turning into a black hole of dullness , from which no interesting concept can escape ",0
"matters because both are just actory concoctions , defined by childlike dimness and a handful of quirks . ",0
comparatively sane and healthy ,1
like having two guys yelling in your face for two hours ,0
brutally dry satire ,0
modest amusements ,1
there was ever a movie where the upbeat ending feels like a copout ,0
energetic and sweetly ,1
"lots of boring talking heads , etc . ",0
a lazy exercise ,0
a class with spike lee 's masterful ,1
seldom hammy ,1
take place indoors in formal settings with motionless characters . ,0
frank capra 's classic ,1
it 's refreshing to see a movie that embraces its old-fashioned themes and in the process comes out looking like something wholly original . ,1
"a pathetic exploitation film that tries to seem sincere , and just seems worse for the effort . ",0
altered ,1
"lisa rinzler 's cinematography may be lovely , but love liza 's tale itself virtually collapses into an inhalant blackout , maintaining consciousness just long enough to achieve callow pretension ",0
"i heard a mysterious voice , and felt myself powerfully drawn toward the light -- the light of the exit sign ",0
"approaches his difficult , endless work with remarkable serenity and discipline ",1
"even if you do n't know the band or the album 's songs by heart , you will enjoy seeing how both evolve , and you will also learn a good deal about the state of the music business in the 21st century ",1
has never been smoother or more confident . ,1
tolerable-to-adults ,0
"mostly , shafer and co-writer gregory hinton lack a strong-minded viewpoint , or a sense of humor . ",0
"this is rote spookiness , with nary an original idea ( or role , or edit , or score , or anything , really ) in sight , and the whole of the proceedings beg the question ` why ? ",0
the disjointed feel of a bunch of strung-together tv episodes . ,0
such a big job ,1
"is the performance of gedeck , who makes martha enormously endearing ",1
that both thrills the eye and ,1
it belongs on the big screen ,1
"ambitious , sometimes beautiful adaptation ",1
rated eee for excitement . ,1
"a bizarre piece of work , with premise and dialogue at the level of kids ' television and plot threads as morose as teen pregnancy , rape and suspected murder ",0
", there is n't much there here . ",0
that disconnects every 10 seconds ,0
a fairly irresistible package ,1
you can fire a torpedo through some of clancy 's holes ,0
unintentional melodrama and tiresome love triangles ,0
that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,1
"the film itself -- as well its delightful cast -- is so breezy , pretty and gifted , it really won my heart ",1
twice as bestial but half as funny ,0
humor ,1
feeble comedy . ,0
great marching bands ,1
has no point and goes nowhere ,0
it 's the very definition of epic adventure . ,1
is like seeing a series of perfect black pearls clicking together to form a string . ,1
"bring a heart and reality that buoy the film , and at times , elevate it to a superior crime movie . ",1
the dullest science fiction ,0
humdrum ,0
sometimes hilarious ) ,1
the human race splitting in two ,0
give credit to everyone from robinson down to the key grip ,1
